step,evaluation_loss
313,11.395598411560059
626,5.961059093475342
939,0.4290471076965332
1252,0.37701526284217834
1565,0.36292028427124023
1878,0.3594726026058197
2191,0.3577549159526825
2504,0.3570546507835388
2817,0.3566009998321533
3130,0.35643336176872253
3443,0.3560788333415985
3756,0.35575348138809204
4069,0.3554663062095642
4382,0.3553205132484436
4695,0.3553157448768616
5008,0.35513225197792053
5321,0.355103462934494
5634,0.35491523146629333
5947,0.35492798686027527
6260,0.354889839887619
6573,0.35474371910095215
6886,0.35471048951148987
7199,0.35470354557037354
7512,0.35470977425575256
7825,0.35456371307373047
8138,0.35469743609428406
8451,0.354611873626709
8764,0.3546629846096039
9077,0.3546481430530548
9390,0.35465747117996216
9703,0.35464856028556824
10016,0.3546243906021118
10329,0.3546108603477478
10642,0.3546268045902252
10955,0.3546278178691864
11268,0.3546212911605835
11581,0.3546145558357239
11894,0.35461416840553284
12207,0.3546130359172821
