step,evaluation_loss
1250,0.3568826913833618
2500,0.3543705940246582
3750,0.35373353958129883
5000,0.352910578250885
6250,0.35306665301322937
7500,0.3526957333087921
8750,0.35260891914367676
10000,0.35281792283058167
11250,0.3527805209159851
12500,0.35291287302970886
13750,0.352914035320282
15000,0.3526434302330017
16250,0.35263878107070923
17500,0.35248059034347534
18750,0.3525950610637665
20000,0.3525881767272949
21250,0.3526019752025604
22500,0.3526790738105774
23750,0.35268932580947876
25000,0.352664977312088
