step,training_loss
500,2.6623
1000,0.5088
1500,0.4619
2000,0.4709
2500,0.4719
3000,0.4726
3500,0.4449
4000,0.4549
4500,0.4543
5000,0.4569
5500,0.4683
6000,0.437
6500,0.4414
7000,0.458
7500,0.4542
8000,0.4456
8500,0.4607
9000,0.4523
9500,0.4525
10000,0.4356
10500,0.4576
11000,0.4482
11500,0.4351
12000,0.4609
12500,0.4389
13000,0.4534
13500,0.4331
14000,0.4503
14500,0.4469
15000,0.448
15500,0.4384
16000,0.4392
16500,0.4487
17000,0.4459
17500,0.4617
18000,0.4603
18500,0.4367
19000,0.4441
19500,0.4409
20000,0.4506
20500,0.4401
21000,0.4487
21500,0.4469
22000,0.4501
22500,0.4424
23000,0.4538
23500,0.4615
24000,0.4417
24500,0.451
25000,0.42
