step,training_loss
500,4.6916
1000,0.4689
1500,0.4514
2000,0.4392
2500,0.4385
3000,0.4337
3500,0.426
4000,0.4248
4500,0.4243
5000,0.4206
5500,0.4221
6000,0.421
