step,training_loss
500,9.9158
1000,3.4116
1500,0.5746
2000,0.4914
2500,0.4766
3000,0.4683
3500,0.4603
4000,0.4553
4500,0.4635
5000,0.4508
5500,0.453
6000,0.4554
6500,0.4438
7000,0.4523
7500,0.4474
8000,0.4496
8500,0.4468
9000,0.4462
9500,0.4429
10000,0.4461
10500,0.443
11000,0.4479
11500,0.4457
12000,0.444
12500,0.4453
