step,training_loss
500,9.3703
1000,2.2398
1500,0.52
2000,0.4772
2500,0.4674
3000,0.4609
3500,0.4533
4000,0.4485
4500,0.4564
5000,0.4443
5500,0.4463
6000,0.4486
6500,0.4368
7000,0.4451
7500,0.4402
8000,0.4423
8500,0.4395
9000,0.4388
9500,0.4355
10000,0.4386
10500,0.4353
11000,0.4402
11500,0.4383
12000,0.4363
12500,0.4376
