step,training_loss
500,9.9979
1000,4.5073
1500,0.7129
2000,0.5081
2500,0.4849
3000,0.4744
3500,0.4645
4000,0.4588
4500,0.4667
5000,0.4535
5500,0.4556
6000,0.4577
6500,0.4458
7000,0.4543
7500,0.4494
8000,0.4516
8500,0.4486
9000,0.4481
9500,0.4447
10000,0.448
10500,0.4446
11000,0.4497
11500,0.4474
12000,0.4458
12500,0.4469
