step,training_loss
500,10.1082
1000,8.0697
1500,6.0851
2000,4.2569
2500,2.7235
3000,1.7514
3500,1.2955
4000,1.0626
4500,0.9215
5000,0.8414
5500,0.7778
6000,0.696
6500,0.671
7000,0.6571
7500,0.6338
8000,0.6158
8500,0.612
9000,0.5877
9500,0.5766
10000,0.5556
10500,0.5665
11000,0.5535
11500,0.5384
12000,0.5545
12500,0.5355
13000,0.5463
13500,0.5149
14000,0.5306
14500,0.5302
15000,0.5292
15500,0.5139
16000,0.5127
16500,0.5174
17000,0.5158
17500,0.5327
18000,0.5298
18500,0.5029
19000,0.5103
19500,0.5071
20000,0.512
20500,0.5059
21000,0.5122
21500,0.5084
22000,0.5121
22500,0.502
23000,0.5161
23500,0.5228
24000,0.5018
24500,0.5123
25000,0.4801
