step,evaluation_loss
1250,0.35717901587486267
2500,0.3543834984302521
3750,0.3535897433757782
5000,0.3527440130710602
6250,0.3526693284511566
7500,0.35241377353668213
8750,0.3525322675704956
10000,0.35238105058670044
11250,0.3524191379547119
12500,0.3526580333709717
13750,0.35254210233688354
15000,0.3525840938091278
16250,0.35252150893211365
17500,0.3524014949798584
18750,0.3524649143218994
20000,0.35244542360305786
21250,0.3525013327598572
22500,0.35249224305152893
23750,0.35250672698020935
25000,0.3525180518627167
