step,training_loss
500,1.0135
1000,0.4558
1500,0.446
2000,0.4383
2500,0.4351
3000,0.4294
3500,0.4218
4000,0.4165
4500,0.4229
5000,0.4107
5500,0.4107
6000,0.4117
6500,0.3998
7000,0.4064
7500,0.4009
8000,0.4014
8500,0.3976
9000,0.3965
9500,0.3925
10000,0.3942
10500,0.3907
11000,0.3938
11500,0.3927
12000,0.3897
12500,0.3908
