step,evaluation_loss
313,11.47226333618164
626,7.534438610076904
939,0.8001438975334167
1252,0.42322149872779846
1565,0.36885786056518555
1878,0.3624371290206909
2191,0.35950636863708496
2504,0.3581004738807678
2817,0.35734784603118896
3130,0.35705381631851196
3443,0.3564876616001129
3756,0.3561041057109833
4069,0.355813592672348
4382,0.355625718832016
4695,0.35548344254493713
5008,0.35528913140296936
5321,0.35527947545051575
5634,0.3550781309604645
5947,0.3550539016723633
6260,0.35500064492225647
6573,0.35491040349006653
6886,0.3548157215118408
7199,0.3547804355621338
7512,0.354764848947525
7825,0.35465380549430847
8138,0.35473334789276123
8451,0.3546581566333771
8764,0.35468634963035583
9077,0.3546762764453888
9390,0.3546909689903259
9703,0.35468462109565735
10016,0.3546712100505829
10329,0.35466253757476807
10642,0.354669988155365
10955,0.35467103123664856
11268,0.35466545820236206
11581,0.35466063022613525
11894,0.35465943813323975
12207,0.35465845465660095
