step,evaluation_loss
1250,0.4014417231082916
2500,0.36212286353111267
3750,0.358833372592926
5000,0.3570888042449951
6250,0.35653188824653625
7500,0.3559657633304596
8750,0.35561537742614746
10000,0.3555264174938202
11250,0.35523492097854614
12500,0.3552849292755127
13750,0.35508355498313904
15000,0.35488414764404297
16250,0.35482707619667053
17500,0.3546636998653412
18750,0.354591965675354
20000,0.35463330149650574
21250,0.3546019494533539
22500,0.35458606481552124
23750,0.3545917272567749
25000,0.3545845150947571
