step,training_loss
500,3.9152
1000,0.5488
1500,0.4908
2000,0.4752
2500,0.4695
3000,0.4643
3500,0.4577
4000,0.4534
4500,0.462
5000,0.4498
5500,0.4523
6000,0.455
6500,0.4435
7000,0.4522
7500,0.4473
8000,0.4497
8500,0.447
9000,0.4465
9500,0.4432
10000,0.4464
10500,0.4434
11000,0.4483
11500,0.4462
12000,0.4444
12500,0.4457
