step,training_loss
500,3.0471
1000,0.5131
1500,0.4782
2000,0.4673
2500,0.463
3000,0.4587
3500,0.4522
4000,0.4481
4500,0.4565
5000,0.4447
5500,0.447
6000,0.4496
6500,0.438
7000,0.4463
7500,0.4415
8000,0.4436
8500,0.4407
9000,0.4401
9500,0.4366
10000,0.4396
10500,0.4361
11000,0.4409
11500,0.4389
12000,0.4368
12500,0.438
