d,test_accuracy
10,0.6672463768115942
14,0.6591304347826087
20,0.6666666666666666
29,0.664927536231884
42,0.664927536231884
61,0.664927536231884
88,0.664927536231884
127,0.662608695652174
183,0.6643478260869565
263,0.664927536231884
379,0.7182608695652174
545,0.7263768115942029
784,0.7455072463768115
1128,0.7281159420289856
1623,0.7884057971014493
2335,0.7936231884057972
3359,0.7988405797101449
4832,0.7988405797101449
6951,0.7953623188405797
10000,0.7878260869565218
